Name,SOS#,Assn Type,# of Units,Telephone,Address1,Address2,City,State,Zip Code,County
Butler Estates Homeowners Association,0136322006-1,REG,16,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Rancho Sierra Condominium Association,1435-1993,REG,76,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
"Cottonwood Lake Homeowners Association, Inc.",0741942007-9,REG,65,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Arlington Ranch Landscape Maintenance Association,8386-2004,REG,1232,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Hobble Creek Estates Property Owners Assoc,7752-1991,REG,25,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Villa Hermosa Homeowners Association,0311622006-0,REG,20,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Highland Springs Homeowners Association,623-1991,REG,108,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Village Paseo Homeowners Association,0038232005-0,REG,75,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Annendale Homeowners Association,35191-2001,REG,194,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
"Villages Homeowners' Association, The",0654382006-4,REG,526,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
High Noon Homeowners Association,9422-2001,SUB,195,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Park 1 At Summerlingate Homeowners' Association,0318572005-9,REG,408,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Walnut Creek Homeowners Association,0616382005-7,REG,26,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Waterfall Homeowners Association,0044622005-5,REG,726,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Altair Homeowners Association,11896-1994,REG,176,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Hemet Drive Homeowners Association Inc,2007-1992,SUB,39,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
"Greenbriar Townhouse Owners Association Inc, The",1904-1968,REG,433,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Willowtree Homeowners Association,3308-1979,REG,208,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Woodcrest Homeowners Association,8567-1983,REG,744,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Woodland Crest Homeowners Association,0041962013-2,REG,19,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Arlington Ranch Manor Homeowners Association,8389-2004,REG,160,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
"Viking Mccleod Estates Landscape & Maintenance Association, Llc",4434-2002,REG,17,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Peppertree Homeowners Association,3309-1979,REG,356,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Vienna Hills Homeowners Association,0862552005-6,REG,239,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
"Bella Vista Condominium Unit-Owners' Association, Inc.",0090362006-0,SUB,260,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Flagstone Ranch Homeowners' Association,0803002006-1,REG,19,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
"Flamingo Ridge Homeowners Association, Dba La Mirage Homeowners Association",149-1986,REG,163,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Bay View Homeowners Association,12185-1995,REG,72,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Magic View Estates Homeowners Association,0750802005-2,REG,76,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Kobie Creek Homeowners Association,0487012007-9,REG,16,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Triple Crown Estates Homeowners Association,0430912007-0,REG,16,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Paradise Colony Homeowners Association,3049-1985,REG,134,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Tarry Towne Homeowners Association,3723-1985,REG,112,(702) 942-2500,C/O Community Management Group,2450 Box Conyon Dr,Las Vegas,NV,89128,Clark
Paradise Meadows Homeowners Association,25737-2001,REG,138,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Aspen Meadows Homeowners Association,30597-2000,SUB,113,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Valhalla Estates Homeowners Association,0097272006-6,REG,15,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Indigo Homeowners' Association,0084332006-9,REG,151,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Vegas Green Townhomes Association,3890-1984,REG,32,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Artesia Owners Association,26226-1999,REG,874,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Paradise Spa Owners' Association,1597-1978,REG,384,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Verde Valle Estates Owners' Association,19861-2001,REG,20,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Arrowhead Pointe Owners Association Inc,8583-1995,REG,112,(702) 222-2391,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Tuscany Village Northshores Homeowners Association,14086-1995,SUB,144,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Malibu Community Association,0352382015-0,REG,100,(702) 942-2500,C/O Community Management Group,2450 Box Canyon,Las Vegas,NV,89128,Clark
Cobblestone Village Association,32645-1999,REG,119,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Rancho Circle Association,2838-1979,REG,35,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Maryland Twilight Homeowners Association,27795-2004,REG,39,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Sadie Estates Homeowners Association,0548112011-1,REG,13,(702) 942-2500,C/O Community Management Group,3360 W Sahara Ave Ste 200,Las Vegas,NV,89102,Clark
Cheyenne Hills At Southfork Owners Association,25366-1997,SUB,166,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Chenango At Southfork Owners Association Inc,21908-1998,SUB,177,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
San Marcello Homeowners' Association,0680232011-6,REG,102,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Day Dawn Estates Homeowners Association,24391-2003,REG,80,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
San Marcos At Summerlin Homeowners Association,33575-2001,SUB,111,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
El Capitan Ranch Landscape Maintenance Association,22196-1995,REG,768,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Maravilla Homeowners Association,3529-2003,REG,266,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Montaire Community Association,12206-1991,SUB,210,(702) 942-9500,C/O Community Management Group,2450 Box Canyon Dr.,Las Vegas,NV,89128,Clark
"Savalli Estates Homeowners' Association, Inc.",3737-1980,REG,200,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Scarlet Crossing Association,8615-2004,REG,89,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Drive,Las Vegas,NV,89128,Clark
Mira Vista Community Homeowners Association,13758-2004,REG,67,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Castellina Iii Homeowners Association,7881-2004,REG,11,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Raintree West Homeowners Association,8896-1992,REG,376,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Quail Run Estates Homeowners Association,11741-1999,REG,11,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Centennial Point Community Association,30353-2002,REG,266,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Corta Bella Community Association Inc,5036-1993,SUB,128,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Maverick Estates Homeowners Association,0180822011-2,REG,10,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Silverado 161 Homeowners Association,21085-1997,REG,161,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Rio Largo Homeowner'S Association,19899-1996,REG,36,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Roark Estates Homeowners Association,0012512011-2,REG,27,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
"Club Aliante Homeowner'S Association, Inc.",13398-2004,SUB,325,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
"Mountain Shadows Homeowner'S Association, Inc.",5960-1992,REG,314,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Shadowbrook Springs Homeowners Association,23768-2002,REG,27,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Canyon Crest Association,30645-2003,REG,90,(702) 942-2500,C/O Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark
Stewart Town Homeowners Association,7243-1983,REG,88,(702) 448-8118,C/O Compass Community Management Llc,Po Box 36447,Las Vegas,NV,89133,Clark
Charleston Heights 50G Townhouse Association,1446-1972,REG,46,(702) 448-8118,C/O Compass Community Management Llc,Po Box 36447,Las Vegas,NV,89133,Clark
Elkhorn Ponderosa Iv,0587872011-8,REG,8,(702) 448-8118,C/O Compass Community Management Llc,Po Box 36447,Las Vegas,NV,89133,Clark
Ascente Homeowners Association,24203-2002,REG,46,(702) 448-8118,C/O Compass Community Management Llc,500 N Rainbow Ste 300,Las Vegas,NV,89107,Clark
Clearwater Estates Homeowners Association,0268002012-0,REG,10,(702) 448-8118,C/O Compass Community Management Llc,Po Box 36447,Las Vegas,NV,89133,Clark
Royal Crest Arms Condominium Homeowners Association,3679-1982,REG,300,(702) 448-8118,C/O Compass Community Management Llc,Po Box 36447,Las Vegas,NV,89133,Clark
Windsor Hill Estates Ii Homeowners Association,0515572011-6,REG,20,(702) 448-8118,C/O Compass Community Management Llc,Po Box 36447,Las Vegas,NV,89133,Clark
Ranch House Estates Owners Association,1791-1996,REG,224,(702) 448-8118,C/O Compass Community Management Llc,Po Box 36447,Las Vegas,NV,89133,Clark
Windsor Hill Estates Homeowners Association,0636752010-3,REG,14,(702) 448-8118,C/O Compass Community Management Llc,500 N Rainbow Blvd Ste 300,Las Vegas,NV,89107,Clark
Sun Gardens Condominiums Association,955-1983,REG,42,(775) 826-8092,C/O Controlled Resources Management Group,83 Continental Dr,Reno,NV,89509,Washoe
Eagle Canyon Association,10093-1996,REG,620,(775) 826-8092,C/O Controlled Resources Management Group,83 Continental Dr Ste B,Reno,NV,89509,Washoe
Desert Highlands Homeowners Association,11085-1997,REG,567,(775) 826-8092,C/O Controlled Resources Management Group,83 Continental Dr Ste B,Reno,NV,89509,Washoe
Whispering Springs Association Inc,1288-1983,REG,144,(775) 826-8092,C/O Controlled Resources Management Group,83 Continental Dr Ste. B,Reno,NV,89509,Washoe
Raven'S Nest Townhomes Homeowners' Association,0784342006-7,REG,16,(775) 826-8092,C/O Controlled Resources Management Group,83 Continental Dr Ste. B,Reno,NV,89509,Washoe
Laguna Terrace Homeowners Association,0445832006-6,MSTR,38,(775) 826-8092,C/O Controlled Resources Management Group,83 Continental Dr Ste B,Reno,NV,89509,Washoe
Pine Tree Ranch West Association,16782-1994,REG,100,(775) 826-8092,C/O Controlled Resources Management Group,83 Continental Dr Ste. B,Reno,NV,89509,Washoe
Incline Crest Association Number Two,2202-1969,REG,32,(775) 826-8092,C/O Controlled Resources Management Group,83 Continental Dr Ste B,Reno,NV,89509,Washoe
Court A Hunter Lake Townhouse Association,1498-1974,REG,34,(775) 826-8092,C/O Controlled Resources Management Group,83 Continental Dr Ste B,Reno,NV,89509,Washoe
Idlewild Riverfront Condominium Association Ii,5884-1985,REG,114,(775) 826-8092,C/O Controlled Resources Management Group,83 Continental Dr Ste B,Reno,NV,89509,Washoe
Eagles Nest Condominium Association,5810-1978,REG,72,(775) 826-8092,C/O Controlled Resources Management Group,83 Continental Dr Ste B,Reno,NV,89509,Washoe
Edgewater Villas Homeowner Association,0648302014-8,REG,48,(775) 826-8092,C/O Controlled Resources Management Group,83 Continental Dr Ste B,Reno,NV,89509,Washoe
Hunter Lake Townhouse Association Court 'C',289-1972,REG,20,(775) 826-8092,C/O Controlled Resources Management Group,83 Continental Dr Ste B,Reno,NV,89509,Washoe
Rosecreek Homeowners Association,19327-1998,REG,10,(775) 826-8092,C/O Controlled Resources Management Group,83 Continental Dr Ste B,Reno,NV,89509,Washoe
"Holcomb Condominium Homeowners Association, Inc.",13212-2002,REG,11,(775) 826-8092,C/O Controlled Resources Management Group,83 Continental Dr Ste B,Reno,NV,89509,Washoe
B Court- Hunter Lake Townhouse Association,2464-1977,REG,24,(775) 826-8092,C/O Controlled Resources Managment Group,83 Continental Dr Ste B,Reno,NV,89509,Washoe
Country River Village Homeowner'S Association,1171-1988,REG,42,(775) 738-1951,"C/O Copenhaver & Mcconnell, P.C.",950 Idaho St,Elko,NV,89801,Elko
Solstice Motorcoach Resort Community Association,0120762011-2,REG,99,(702) 346-8522,C/O Cordes & Company,4400 Macarthur Blvd Ste 980,Newport Beach,CA,92660,
Silverado Canyons Landscape Maintenance Association,15275-1997,REG,248,(702) 435-3757,C/O Cornerstone Community Association Management,Po Box 93625,Las Vegas,NV,89193,Clark
Silverado Hills Landscape Maintenance Association,20366-1995,REG,235,(702) 435-3757,"C/O Cornerstone Community Associaiton Management,",Po Box 93625,Las Vegas,NV,89193,Clark
Silverado Ranch Ii Landscape Maintenance Corporation,9131-1999,REG,525,(702) 435-3757,C/O Cornerstone Community Association Management,Po Box 93625,Las Vegas,NV,89193,Clark
Silverado Ranch Iii Landscape Maintenance Corporation,28307-2000,REG,443,(702) 435-3757,C/O Cornerstone Community Association Management,Po Box 93625,Las Vegas,NV,89193,Clark
"Paseo Iii At Coronado Ranch Landscape Maintenance Corporation, A Nevada Nonprofit Corporation",3863-2003,REG,224,(702) 435-3757,C/O Cornerstone Community Association Management,Po Box 93625,Las Vegas,NV,89193,Clark
Silverado Trails Landscape Maintenance Association,384-1996,REG,251,(702) 435-3757,C/O Cornerstone Community Association Management,Po Box 93625,Las Vegas,NV,89193,Clark
Hillcrest Homeowners Association,0088052006-9,REG,43,(702) 435-3757,C/O Cornerstone Community Association Management,Po Box 93625,Las Vegas,NV,89193,Clark
Silverado Crossing Landscape Maintenance Association,12174-1997,REG,232,(702) 435-3757,C/O Cornerstone Community Association Management,Po Box 93625,Las Vegas,NV,89193,Clark
Tara Homeowners Association,1799-1984,REG,33,(702) 871-8280,C/O Covenant Management,2001 S Jones Blvd Ste D,Las Vegas,NV,89146,Clark
Parkway Villas Owners Association,1445-1977,REG,424,(702) 871-8280,C/O Covenant Management,2001 S Jones Blvd Ste D,Las Vegas,NV,89146,Clark
Sunrise Villas Ix Homeowners Association,5705-1980,REG,124,(702) 871-8280,C/O Covenant Management,2001 S Jones Blvd Ste D,Las Vegas,NV,89146,Clark
Cimarron West Homes Association,881-1974,REG,168,(702) 871-8280,C/O Covenant Management,2001 S Jones Blvd Ste D,Las Vegas,NV,89146,Clark
Briarwood 3 Homeowners Association,2287-2004,REG,44,(702) 871-8280,C/O Covenant Management,2001 S Jones Blvd Ste D,Las Vegas,NV,89146,Clark
Smoke Ranch Pines Association,4106-1988,REG,41,(702) 871-8280,C/O Covenant Management,2001 S Jones Blvd Ste D,Las Vegas,NV,89146,Clark
Lake Mead Villas Homeowners Association,7002-1987,REG,312,(702) 871-8280,C/O Covenant Management,2001 S Jones Blvd Ste D,Las Vegas,NV,89146,Clark
"Village At Karen Homeowners Association, The",14128-2003,REG,328,(702) 871-8280,C/O Covenant Management,2001 S Jones Blvd Ste D,Las Vegas,NV,89146,Clark
Capella Homeowners Association,0081442006-9,REG,216,(702) 871-8280,C/O Covenant Management,2001 S Jones Blvd Ste D,Las Vegas,NV,89146,Clark
Souvenir Homeowners Association,4231-1993,REG,248,(702) 871-8280,C/O Covenant Management,2001 S Jones Blvd Ste D,Las Vegas,NV,89146,Clark
Coyote Springs Charter Community Association,0636312006-5,MSTR,180000,(702) 422-1400,C/O Coyote Springs Investment Llc,Po Box 37010,Coyote Springs,NV,89037,Clark
Crystal Bay Cove,737-1968,REG,36,(775) 831-3755,C/O Crystal Shores Maintenance Inc,Po Box 4749,Incline Village,NV,89450,Washoe
"Pointe Homeowners Association, The",28395-1997,REG,26,(775) 831-3755,C/O Crystal Shores Maintenance Inc,Po Box 3443,Incline Village,NV,89450,Washoe
Crystal Shores West Association,1301-1964,REG,44,(775) 831-3755,C/O Crystal Shores Maintenance Inc,Po Box 4907,Incline Village,NV,89450,Washoe
Ascaya Owners Association,0398282008-3,REG,400,(786) 517-2929,C/O Ctf Development Inc,2990 Ponce De Leon Blvd Suite 401,Coral Gables,FL,33134,
Desert Fairways West Homeowners Association,3477-1988,SUB,58,(702) 982-0430,C/O Desert Community Management,5550 Painted Mirage Rd Ste 120,Las Vegas,NV,89149,Clark
Villas On The Green Condominium Association,1853-1990,SUB,144,(702) 982-0430,C/O Desert Community Management,5550 Painted Mirage Rd Ste 120,Las Vegas,NV,89149,Clark
Mountain Gate Drive Homeowners Association,10142-1989,SUB,24,(702) 645-3774,C/O Desert Community Management,5550 Painted Mirage Rd Ste 120,Las Vegas,NV,89149,Clark
Se'Villa Community Association,6089-1991,SUB,80,(702) 982-0430,C/O Desert Community Management,5550 Painted Mirage Rd Ste 120,Las Vegas,NV,89149,Clark
Spanish Ridge At Craig Road Homeowners Association,0010752005-0,REG,23,(702) 982-0430,C/O Desert Community Management,5550 Painted Mirage Rd Ste 120,Las Vegas,NV,89149,Clark
Solana Del Mar Community Association,25095-2001,SUB,150,(702) 928-0430,C/O Desert Community Management,5550 Painted Mirage Rd Ste 120,Las Vegas,NV,89149,Clark
Viscaya Homeowners Association,568-1990,SUB,117,(702) 982-0430,C/O Desert Community Management,5550 Painted Mirage Rd Ste 120,Las Vegas,NV,89149,Clark
Ashley Ridge Association,30639-2003,REG,200,(702) 982-0430,C/O Desert Community Management,5550 Painted Mirage Rd Ste 120,Las Vegas,NV,89149,Clark
Painted Desert Estates Homeowners Association,1093-1988,SUB,72,(702) 982-0430,C/O Desert Community Management,5550 Painted Mirage Rd Ste 120,Las Vegas,NV,89149,Clark
Desert Greens Homeowners Association,893-1988,SUB,100,(702) 982-0430,C/O Desert Community Management,5550 Painted Mirage Rd Ste 120,Las Vegas,NV,89149,Clark
Desert Pine Villas Homeowners Association,20528-1997,REG,194,(702) 982-0430,C/O Desert Community Management,5550 Painted Mirage Rd Ste 120,Las Vegas,NV,89149,Clark
Villa Trinidad At Painted Desert Homeowners Association Inc,3644-1990,SUB,122,(702) 982-0430,C/O Desert Community Management,5550 Painted Mirage Rd Ste 120,Las Vegas,NV,89149,Clark
Westwind Homeowners' Association,0585522005-7,REG,189,(702) 645-3774,C/O Desert Community Management,5550 Painted Mirage Rd Ste 120,Las Vegas,NV,89149,Clark
Painted Desert Community Association,8551-1985,MSTR,1622,(702) 645-3774,C/O Desert Community Management,5565 Painted Mirage Rd,Las Vegas,NV,89149,Clark
St Tropez Homeowner Association,6058-1989,SUB,79,(702) 982-0430,C/O Desert Community Management,5550 Painted Mirage Rd Ste 120,Las Vegas,NV,89149,Clark
Lamplight Estates @ Centennial Springs Homeowners Association,23326-2000,REG,159,(702) 982-0430,C/O Desert Community Management,5550 Painted Mirage Rd Ste 120,Las Vegas,NV,89149,Clark
Villa Ridge Drive Homeowners Association Inc,1429-1990,SUB,52,(702) 982-0430,C/O Desert Community Management,5550 Painted Mirage Rd Ste 120,Las Vegas,NV,89149,Clark
Village South Landscape Maintenance Association,1660-2005,REG,92,(702) 396-6042,C/O Desert HOA Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark
Champion Village Community Association,18396-1997,MSTR,508,(702) 396-6042,C/O Desert HOA Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark
Spring Creek Estates Owners Association,0524732006-0,REG,10,(702) 396-6042,C/O Desert HOA Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark
Heritage Estates Community Association,21853-2000,REG,76,(702) 396-6042,C/O Desert HOA Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark
Day Dawn Village Homeowners Association,24488-2002,REG,40,(702) 396-6042,C/O Desert HOA Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark
River Landing Homeowners Association,5797-1985,REG,329,(702) 396-6042,C/O Desert HOA Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark
Paseo Ridge Homeowners Association,15594-2004,REG,139,(702) 396-6042,C/O Desert HOA Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark
Dorrell Square Homeowners Association,15668-2004,REG,110,(702) 396-6042,C/O Desert Hoa Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark
Foothills Ranch Homeowners Association,14944-1995,REG,133,(702) 396-6042,C/O Desert Hoa Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark
Carson Ranch West Homeowners Association,36023-2004,REG,130,(702) 396-6042,C/O Desert Hoa Management Inc,Po Box 75039,Las Vegas,NV,89136,Clark
La Madre Homeowners Association,0780252005-1,REG,23,(702) 396-6042,C/O Desert Hoa Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark
Deerbrooke Estates Homeowners Association,4163-1993,REG,69,(702) 396-6042,C/O Desert Hoa Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark
Cimarron Gowan Community Association,9933-1994,REG,564,(702) 396-6042,C/O Desert Hoa Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark
Grand Estates Street And Landscape Maintenance Corporation,18719-1998,REG,55,(702) 396-6042,C/O Desert Hoa Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark
"Enclave Ii Homeowners Association, The",24824-2004,REG,72,(702) 396-6042,C/O Desert Hoa Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark
Heritage Estates Ii Community,24112-2001,REG,27,(702) 396-6042,C/O Desert Hoa Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark
Foothills Ranch East Homeowners Association,0641772011-3,REG,14,(702) 396-6042,C/O Desert HOA Management Inc,Po Box 750639,Las Vegas,NV,89136,Clark
Marbella Homeowners Association,13024-2000,SUB,96,(702) 396-6042,C/O Desert HOA Management Inc,P O Box 750639,Las Vegas,NV,89136,Clark
Legacy West Condominium Association Inc,10989-1994,SUB,176,(702) 992-7211,C/O Desert Living Inc,8925 S Pecos Rd Ste 15A,Henderson,NV,89074,Clark
View Of Black Mountain Homeowners Association,13950-1998,REG,262,(702) 992-7211,C/O Desert Living Inc,8925 S Pecos Rd Ste 15A,Henderson,NV,89074,Clark
Paradise Pointe Landscape Maintenance Association,18692-2004,REG,479,(703) 992-7211,C/O Desert Living Inc,8925 S Pecos Rd Ste 15A,Henderson,NV,89074,Clark
"Royalwood Landscape Maintenance Association, Inc",4059-2000,REG,113,(702) 992-7211,C/O Desert Living Inc,8925 S Pecos Rd Ste 15A,Henderson,NV,89074,Clark
Monument Pointe Owners Association,4783-1995,SUB,104,(702) 992-7211,C/O Desert Living Inc,8925 S Pecos Rd Ste 15A,Henderson,NV,89074,Clark
Mission Manor Homeowners Association,10491-2004,REG,113,(702) 992-7211,C/O Desert Living Inc,8925 S Pecos Rd Ste 15A,Henderson,NV,89074,Clark
Allegro Homeowners Association,1392-1992,REG,147,(702) 992-7211,C/O Desert Living Inc,8925 S Pecos Rd Ste 15A,Henderson,NV,89074,Clark
Palm Valley Homeowners Association,7580-1991,SUB,114,(702) 992-7211,C/O Desert Living Inc,8925 S Pecos Rd Ste 15A,Henderson,NV,89074,Clark
Rancho Arroyo Grande Homeowners Association,13734-1996,REG,144,(702) 992-7211,C/O Desert Living Inc,8925 S Pecos Rd Ste 15A,Henderson,NV,89074,Clark
River Mountain Mobile Estates Owners Association,4826-1993,REG,65,(702) 992-7211,C/O Desert Living Inc,8925 S Pecos Rd Ste 15A,Henderson,NV,89074,Clark
Windmill Heights Homeowners Association Inc,6216-1990,REG,180,(702) 992-7211,C/O Desert Living Inc,8925 S Pecos Rd Ste 15A,Henderson,NV,89074,Clark
Mystic Ridge Association,17299-1996,SUB,69,(702) 992-7211,C/O Desert Living Inc,8925 S Pecos Rd Ste 15-A,Henderson,NV,89074,Clark
Deeded Estates Homeowners Association,0504222006-5,REG,8,(702) 839-2052,C/O Djd Enterprises,2287 Crestline Loop Ste 10,N Las Vegas,NV,89030,Clark
El Paseo Community Association,5916-1990,REG,179,(702) 368-4637,C/O Elite Hoa Management Inc,8425 W Flamingo Rd Ste 1,Las Vegas,NV,89147,Clark
Laredo Vista Homeowner'S Association,32285-2004,REG,27,(702) 368-4637,C/O Elite Hoa Management Inc,8425 W Flamingo Rd Ste 1,Las Vegas,NV,89147,Clark
Dayspring Property Owners Association,18481-1999,REG,66,(702) 368-4637,C/O Elite Hoa Management Inc,8425 W Flamingo Rd Ste 1,Las Vegas,NV,89147,Clark
Canyon Creek North Homeowners Association,6598-1995,REG,293,(702) 368-4637,C/O Elite Hoa Management Inc,8425 W Flamingo Rd Ste 1,Las Vegas,NV,89147,Clark
Desert Bloom Homeowners Association,13396-1999,SUB,204,(702) 368-4637,C/O Elite Hoa Management Inc,8425 W Flamingo Rd Ste 1,Las Vegas,NV,89147,Clark
Starlight Estates West Homeowners' Association,3317-1994,REG,30,(702) 368-4637,C/O Elite Hoa Management Inc,8425 W Flamingo Rd Ste 1,Las Vegas,NV,89147,Clark
Monterey Park Condominium Association,6606-1987,REG,108,(702) 368-4637,C/O Elite Hoa Management Inc,8425 W Flamingo Rd Ste 1,Las Vegas,NV,89147,Clark
